Site_ID,Area_ha,Patch_km,Wet_km,prop_2,prop_3,prop_4
105,4.36973,1.59035,0,0.376366364,0.034779079,0.027907451
106,5.0967102,0.881081,0.247351,0.321739905,0.12939022,0.196886596
107,1.34881,0.756787,0.56786,0,0,0
108,4.92869,4.1283698,1.46464,0.426161839,0.123632426,0.15915114
109,3.0123301,0.636373,0.331688,0.229999252,0.160668872,0.300432505
110,2.70082,0.756787,1.37667,0.203586004,0.150555849,0.26853286
111,8.1456604,3.62075,0.614902,0,0,0
112,4.0366602,0.636373,0.172182,0.557596001,0.105019834,0.049398622
113,1.37641,3.62075,0.348428,0.116341743,0.318380139,0.067242312
114,2.32511,0.251734,0,0.02761592,0.169131023,0.14630362
115,2.6452601,0.251734,0.216537,0.002297503,0.00504794,0.084856839
116,4.0780401,1.5891,0.644295,0.266308005,0.017059505,0.010112492
117,5.3581901,1.5891,0,0.179923601,0.165372256,0.248952068
118,4.0780401,7.7343102,0.920844,0.001777239,0.000355898,0.00550299
119,4.0780401,1.7522399,1.0345,0.134214222,0.013333862,0.034857376
120,4.0780401,4.52178,0,0.069793348,0.013757333,0.040190826
121,2.4672301,1.7522399,0.6614,0,0,0
122,0.143677,4.7087898,0.12793,0,0,0
123,4.2941298,0.291308,0.304109,0,0,0
124,2.19613,2.4755599,0,0.3695366,0.201377982,0.212781197
125,0.693631,0.18068,0.485181,0.213518201,0.097496049,0.081476387
126,2.9066,1.16272,0.446952,0.152822155,0.298784751,0.304178823
127,0.200756,0.13036,0.651403,0,0,0
128,0.850941,0.291308,0,0.218589598,0.113838199,0.163983741
129,1.8055,0.494097,0.472684,0.385809004,0.214246005,0.159228995
130,2.84479,0.18068,0.337524,0.217799517,0.102883368,0.208160374
131,3.2267599,2.3661001,0.119702,0.498102716,0.164032028,0.076645773
132,3.6579499,0.13036,0.283853,0.004058267,0.006827339,0.020006187
133,2.5860901,2.7792301,0.448668,0.228447152,0.027434035,0.020185276
134,2.4969399,1.46665,0.430562,0.269366752,0.29806373,0.212350775
135,6.3305702,1.46665,0.439273,0,0,0
136,11.1396999,1.1119,0.246828,0.435431845,0.221525728,0.176444039
137,1.48588,2.1612301,0,0.078857985,0.389360423,0.368354282
138,5.6519098,0.097983,0.388154,0.07477402,0.003926512,0.033580389
139,2.8981199,0.21824,0.896552,0.08145712,0.296301673,0.207020307
140,2.7815399,0.097983,0.425202,0.048228787,0.003297355,0.036277539
141,4.5669999,0.746368,1.26482,0.00306162,0.129754745,0.523226218
142,4.6736798,4.3950701,0.200245,0.101038668,0.215382829,0.266950736
143,1.74321,2.1459301,0.265077,0,0,0
144,4.5023198,1.38194,0.101938,0.043173535,0.17116714,0.652120267
145,4.0780401,0.746368,1.08178,0,0,0
146,0.234524,3.72841,0.937339,0,0,0
147,3.1686201,1.3215899,0.542538,0.050215022,0.065911086,0.074269889
148,3.8622999,1.38194,0.040811,0.12263756,0.045918599,0.089489035
149,4.8227601,1.3288,0.607712,0.170661727,0.023418728,0.05004245
150,1.60972,11.0853996,1.79645,0.07451831,0.172674888,0.439840111
151,2.3447101,11.2568998,0.503022,0,0,0
152,1.83287,15.6732998,0.0486481,0,0,0
153,3.0236001,0.77076,0.497588,0,0,0
154,2.8587699,0.271224,1.3385,0.148050836,0.166224762,0.297782975
155,2.6767001,0.271224,0.969918,0.048198512,0.005917417,0.014340455
156,0.27006,1.63351,0.196681,0.125472993,0.181589007,0.199242994
157,1.22501,1.46717,1.0223401,0.1673765,0.03140355,0.02988105
158,3.0467801,1.6353199,1.36851,0.050158501,0.043935542,0.058568671
159,0.59114,1.6353199,0.244041,0.177219404,0.187571753,0.04498385
160,7.7112699,0.237508,1.41404,0.042571246,0.004138287,0.012327576
161,2.44208,0.237508,1.78649,0.049380864,0.001145168,0.007260722
162,0.671513,1.9514199,1.87017,0,0,0
163,0.554362,5.43893,0.0904808,0.096866881,0.00647356,0.002708207
164,2.6236601,1.12036,0.31463,0.0572056,0.011288292,0.055160775
165,1.71644,0.876036,1.15674,0.031001327,0.044455524,0.234104531
166,4.33114,5.43893,1.04872,0.198912782,0.185958666,0.212173833
167,4.0780401,3.85024,0.905123,0.110063668,0.005717198,0.007113616
168,0.0399586,4.9064999,0.12447,0.018250899,0.030418299,0.59087503
169,1.44517,0.944623,0.590352,0,0,0
170,0.892614,0.944623,0.286822,0,0,0
171,7.4977798,3.3051701,0.943521,0.157003398,0.10971165,0.259664426
